185,GSB,GRIYA SETIABUDHI,JL. DR. SETIABUDI NO. 170,BANDUNG,022 - 2043884,2
191,GPH,GRIYA PAHLAWAN,JL. PAHLAWAN NO. 10 - 15,BANDUNG,022 - 7235930 /40 / 50,2
208,YLS,YOGYA LUCKY SQUARE,JL. TERUSAN JAKARTA NO. 2,BANDUNG,022 - 87242191 / 2,2
183,YCW,YOGYA CIWALK,JL. CIHAMPELAS NO. 160,BANDUNG,022 - 2060960 - 3,3
206,GHS,GRIYA HEMAT SOEKARNO HATTA,JL. SOEKARNO HATTA NO. 533,BANDUNG,022 - 7301047 / 49,1
184,GLB,GRIYA LEMBANG,JL. PASAR PANORAMA NO. 14,BANDUNG,022 -2784478 / 9,4
205,YPC,YOGYA PLAZA CIMAHI,JL. JENDRAL H.AMIR MACHMUD NO. 128,BANDUNG,022 - 6634689 / 99,4
179,GCL,GRIYA CICALENGKA,JL. RAYA BARAT NO. 315,BANDUNG,022 - 7949364,5
181,GTS,GRIYA TANJUNGSARI,JL. TANJUNG SARI NO. 229,BANDUNG,022 - 7914970 / 1,5
203,GJN,GRIYA JATINANGOR,JL. RAYA JATINANGOR NO. 130,BANDUNG,022 - 7781862 / 3,5
188,GJB,GRIYA JAMBLANG,JL. RAYA JAMBLANG KM 13 CIREBON PALIMANAN,JAMBLANG,0231 - 344244 / 5,6
190,GKN,GRIYA KUNINGAN,JL. SILIWANGI NO. 53 B,KUNINGAN,0232 - 873253,6
211,MJA,YOGYA MAJALENGKA,JL. KH. ABDUL HALIM NO. 110,MAJALENGKA,0233 - 8891280/77/78,6
182,YJB,YOGYA JATIBARANG,JL. SILIWANGI N0. 28,CIREBON,0234 - 5357321 /2,7
207,YCK,YOGYA CIKAMPEK,JL. A.H YANI NO. 108,CIKAMPEK,0264 - 8388500 - 1,7
225,YPT,YOGYA PATROL,JL. RAYA PATROL  DESA PATROL KEC PATROL,PATROL,-,7
186,BJR,YOGYA BANJAR,JL. LET.JEN.SUWARTO NO. 36,BANJAR,0265 - 745748,8
230,GCW,GRIYAMART CIAWI,JL. RAYA PERJUANGAN DESA KURNIA BAKTI,CIAWI,0265 - 453619 / 20,8
180,GRB,YOMART MM RANCA BOLANG,JL. RANCABOLANG NO.16 ,BANDUNG,,10
187,YMJ,YOGYA MAJENANG,JL. DIPENOGORO NO. 313,MAJENANG,0280 - 623199,10
193,XBO,YOGYA EXPRESS  BORROMEUS,,BANDUNG,,10
408,RCK,YOMART MM RANCAEKEK 1,,,,10
505,BBN,YOMART MM BABAKAN,,,,10
149,BGI,YOGYA BOGOR INDAH,JL. RAYA BARU CIMANGGU,BOGOR,0251 - 8382093/4,9
110,YGT,YOGYA GATOT SUBROTO,JL. JENDRAL  GATOT SUBROTO NO. 229 KEL MALEER KEC BATUNUNGGAL,BANDUNG,022 - 7300945,1
121,KSB,YOGYA KOSAMBI,JL. A. YANI NO. 119 & 125,BANDUNG,022 - 4234895,1
151,DNT,GRIYA DINASTY,JL. KIARACONDONG N0 17 BLOK A2 - A6 & B1,BANDUNG,022 - 7271308,1
168,GSS,GRIYA SUMBER SARI,KOM SUMBERSARI INDAH BLOK T1 - T2,BANDUNG,022 - 6017276,1
169,GMH,GRIYA MARGAHAYU,"KOM RUKO METRO MARGAHAYU, RAYA KAV 17 - 20 SOEKARNO - HATTA",BANDUNG,022 - 7505650,1
170,GKP,GRIYA KOPO PERMAI,KOM KOPO PERMAI II BLK 6 AR NO. 1 - 2,BANDUNG,022 - 5402801,1
204,GBJ,GRIYA BANJARAN,JL.RAYA BANJARAN NO. 148,BANDUNG,022 - 5941180/6555,1
202,GTK,GRIYA TAMAN KOPO,JL.TAMAN KOPO INDAH II,BANDUNG,022 - 85440292 / 3,1
227,GMR,GRIYA MARGAHAYU RAYA,JL. PLUTO UTARA NO.01,BANDUNG,022 - 7503322,1
108,GBT,GRIYA BATUNUNGGAL,JL. BATUNUNGGAL INDAH I NO. 21 KEL BATUNUNGGAL KEC BDG KIDUL,BANDUNG,022 - 7513020,1
243,HLS,GRIYA HOLIS,JL. RAYA HOLIS NO. 460-462,BANDUNG,022 - 6075241,1
233,YBS,YOGYA BOJONGSOANG,JL. RAYA BOJONGSOANG NO.333,BANDUNG,\N,1
450,GKN,YOMART MM GEGERKALONG 2,,,,6
528,MJA,YOMART MM MAJALAYA,,,,6
141,YCH,YOGYA CIREBON JUNCTION,\N,CIREBON,\N,6
163,PDB,GRIYA PONDOK BAMBU,JL. PAHLAWAN REVOLUSI NO. 15,JAKARTA,021 - 8615864,9
166,YBJ,YOGYA BOGOR JUNCTION,JL. JENDRAL SUDIRMAN NO. 11,BOGOR,0251 - 8311614,9
119,YTG,YOGYA TEGAL,JL. A.R. HAKIM NO. 16KEL. RANDUGUNTING   KEC. TEGAL SELATAN,TEGAL,0283-323581,10
120,YPL,YOGYA PEMALANG,JL. JEND. SUDIRMAN NO. 94 RT.04 RW.12 KEL. PELUTAN,PEMALANG,0284-321591,10
129,XMD,XPRESS MERDEKA,JL. MERDEKA NO. 54,BANDUNG,022 - 4209858,10
134,XCW,XPRESS CIWALK,JL. CIHAMPELAS NO. 18,BANDUNG,022 - 2061184,10
154,XPT,EXPRESS KEPATIHAN,JL. KAPATIHAN NO. 18,BANDUNG,022 - 4205503 / 8442,10
209,MSD,YOMART MM SUDIRMAN,JL. JENDRAL SUDIRMAN NO.709,BANDUNG,,10
210,MCH,YOMART MM CICAHEUM,JL. AHMAD NASUTOIN NO.22,BANDUNG,,10
212,MHO,YOMART MM CIBADUYUT,JL. CIBADUYUT LAMA NO.61,BANDUNG,,10
213,MCC,YOMART MM CIMINDI 2,JL. LEUWI GAJAH NO.20 KEL. CIGUGUR TENGAH,CIMAHI,,10
214,MKP,YOMART MM KOPO KATAPANG,"JL. TERUSAN KOPO KM 13,2 KATAPANG",KAB BANDUNG,,10
215,MRJ,YOMART MM RAJAMANDALA,"JL. RAYA RAJAMANDALA NO.403, DESA RAJAMANDALA KULON",KAB BANDUNG BARAT,,10
216,MHG,YOMART MM HAUR GEULIS,JL. JENDRAL SUDIRMAN NO.44 INDRAMAYU,INDRAMAYU,,10
217,MPG,YOMART MM PAGADEN,JL. STASIUN PAGADEN RT.026 / RW.007,SUBANG,,10
218,MBC,GRIYAMART BTC,,BANDUNG,,10
219,MKC,YOMART MM KLAYAN CIREBON,JL. SUNAN GUNUNG JATI NO.1 DESA JADIMULYA,CIREBON,,10
222,MCS,YOMART MM CIBADAK 4,JL. RAYA SILIWANGI NO.55 CIBADAK,SUKABUMI,,10
223,MCB,YOMART MM CIBIRU 2,"JL. AH NASUTION NO.49, RT.01/ RW.01 KEL. PASIRBIRU, KEC.CIBIRU",BANDUNG,,10
224,MCG,YOMART MM CICURUG,JL. RAYA SILIWANGI NO.35 DS/KEL. CICURUG,SUKABUMI,,10
226,MCM,YOMART MM CIOMAS,JL. RAYA CIOMAS KOMPLEK PERTOKOAN CIOMAS HARAPAN NO.R7-R8,BOGOR,,10
228,MRC,YOMART MM RANCAEKEK 4,JL. RAYA RANCAEKEK NO.187 KM 22 KAMPUNG CIPASIR KEC. RANCAEKEK,KAB BANDUNG,,10
229,MCT,YOMART MM CISAAT 3,"JL. RAYA CISAAT RT.38/ RW.12 DESA SUKAMANTRI, KEC. CISAAT",SUKABUMI,,10
231,MTC,YOMART MM TUPAREV,"JL. TUPAREV NO.85 A&B DESA SUTAWINANGUN, KEC KEDAWUNG",CIREBON,,10
232,BKU,BAKERY KURDI,,BANDUNG,,10
235,MSH,GRIYAMART SOEKARNO HATTA,,BANDUNG,,10
236,DDR,YOMART MM DANGDEUR,"JL. RANCAEKEK - MAJALAYA NO 27, RT.04/ RW.03 KAMP. DANGDEUR, DS. BOJONGLOA, KEC.RANCAEKEK",KAB BANDUNG,,10
237,XLS,YOGYA EXPRESS LUCKY SQUARE,JL. TERUSAN JAKARTA NO. 2,BANDUNG,-,10
238,PGL,GRIYAMART PAGELARAN,,BOGOR,,10
241,KWT,YOMART MM KARAWITAN,JL. KARAWITAN NO.60 RT.06/ RW.05 KEL. TURANGGA KOTA BANDUNG,BANDUNG,,10
247,BBR,YOMART MM BANGBARUNG,JL. YUDISTIRA INDRA PRASTA II NO.23 KEL. TEGAL GUNDIL KEC. BOGOR UTARA,BOGOR,,10
248,PDL,YOMART MM GA MANULANG,JL. GA MANULANG NO.80 RT.01 / RW.03 KP. SUDIMAMPIR DS.PADALARANG KEC. PADALARANG,KAB BANDUNG BARAT,,10
302,PSB,PASAR BARU,,BANDUNG,,10
740,TMG,GRIYAMART TUMENGGUNG,,,,10
751,G48,YOMART GROSIR,JL. JAKARTA NO. 48,BANDUNG,022 - 7208181,10
478,HSA,YOMART XPRESS BANDARA HUSEIN,,,,10
531,TBU,YOMART XPRESS TERS BUAH BATU,,,,10
541,K62,YOMART XPRESS CIKAMPEK KM 62,,,,10
555,GK3,YOMART XPRESS GEGER KALONG 3,,,,10
695,TEE,YOMART XPRESS THE EDGE,,,,10
699,K97,YOMART XPRESS REST AREAKM97B,,,,10
704,BRU,YOMART XPRESS BORROMEUS,,,,10
708,WTG,YOMART XPRESS WARUNG TANJUNG,,,,10
712,STB,YOMART XPRESS ST. BANDUNG,,,,10
403,GRA,YOMART MM GARUDA,,,,10
404,PJU,YOMART MM PASIR JAMBU,,,,10
411,KPO,YOMART MM KOPO,,,,10
413,LPG,YOMART MM LEUWI PANJANG 1,,,,10
415,SRG,YOMART MM SOREANG 1,,,,10
416,PDA,YOMART MM PADASUKA 1,,,,10
417,SRI,YOMART MM SARIJADI,,,,10
418,GKG,YOMART MM GEGER KALONG 1,,,,10
419,CPY,YOMART MM CIPARAY 1,,,,10
420,PMG,YOMART MM PARAKAN MUNCANG,,,,10
421,KIL,YOMART MM KOPO IMMANUEL,,,,10
422,SNI,YOMART MM SINGOSARI,,,,10
423,MIM,YOMART MM METRO INDAH MALL,,,,10
424,MCA,YOMART MM MARGACINTA,,,,10
425,OIA,YOMART MM OTISTA,,,,10
426,BJG,YOMART MM BOJONGSOANG 1,,,,10
427,DDE,YOMART MM DANGDEUR 2,,,,10
429,PGH,YOMART MM PAGARSIH,,,,10
430,CKA,YOMART MM CIKUTRA_ST YUSUF,,,,10
431,CUT,YOMART MM CIUMBULEUIT,,,,10
